City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,silver city,32.7701,-108.2803,8.98,88,75,2.06,US,1698240282
132,pelabuhanratu,-6.9875,106.5514,29.68,67,74,1.24,ID,1698186509
133,meadow lake,34.8014,-106.5436,13.95,54,100,2.29,US,1698240012
134,natal,-5.795,-35.2094,22.36,94,20,1.03,BR,1698220587
135,levuka,50.1834,-105.4011,-7.1,88,98,2.18,CA,1698241178
136,kaoma,-14.7833,24.8,27.87,33,82,1.55,ZM,1698205707
137,matoury,4.8483,-52.3317,24.98,94,40,0.0,GF,1698225242
138,hasaki,35.7333,140.8333,22.94,68,100,4.5,JP,1698180673
139,saint-pierre,-21.3393,55.4781,29.2,61,0,3.6,RE,1698197969
140,tagab,34.855,69.6492,19.3,31,0,1.16,AF,1698197703
141,nova sintra,14.8667,-24.7167,24.25,73,12,7.34,CV,1698219137
142,puerto baquerizo moreno,-0.9,-89.6,23.79,84,96,3.75,EC,1698233891
143,chonchi,-42.6128,-73.8092,6.18,98,17,1.34,CL,1698227349
144,port alfred,-33.5906,26.891,19.54,70,36,2.24,ZA,1698203997
145,idri,27.5,13.2667,23.3,26,18,2.48,LY,1698210746
146,codrington,-38.2667,141.9667,11.91,48,28,9.04,AU,1698176020
147,atafu village,-8.5421,-172.5159,29.3,73,8,6.5,TK,1698253389
148,happy valley-goose bay,53.3168,-60.3315,6.17,65,75,2.06,CA,1698230758
149,zeya,53.75,127.2667,3.05,57,97,4.28,RU,1698185736
150,san antonio de pale,-1.4014,5.6325,25.79,82,96,4.36,GQ,1698211012
151,ishigaki,24.3448,124.1572,28.07,74,40,8.75,JP,1698183929
152,port saint john's,-31.6229,29.5448,19.46,55,0,3.46,ZA,1698203509
153,deir ez-zor,35.3359,40.1408,24.74,34,0,2.63,SY,1698204825
154,longyearbyen,78.2186,15.6401,-4.09,86,75,3.09,SJ,1698225871
155,hamilton,39.1834,-84.5333,18.76,69,75,3.6,US,1698235068
156,gadzhiyevo,69.2551,33.3362,-2.23,93,97,2.0,RU,1698212115
157,thunder bay,48.4001,-89.3168,4.99,87,100,2.06,CA,1698237104
158,'ali al gharbi,32.4633,46.6864,24.95,39,100,4.54,IQ,1698203048
159,charlottetown,46.2352,-63.1267,10.31,88,75,2.68,CA,1698230577
160,lebu,-37.6167,-73.65,8.45,91,4,6.98,CL,1698227778
161,kuta,-8.7233,115.1723,32.97,55,20,5.66,ID,1698184350
162,middelburg,-25.7751,29.4648,21.1,40,0,3.79,ZA,1698203931
163,fiambala,-27.6871,-67.6149,15.16,83,8,1.78,AR,1698227090
164,udachny,66.4167,112.4,-4.75,73,49,6.84,RU,1698192005
165,durango,24.8333,-104.8333,11.99,78,0,2.93,MX,1698238937
166,kasaragod,12.5,75.0,32.26,47,10,1.05,IN,1698195075
167,klyuchi,52.2667,79.1667,10.45,35,100,8.54,RU,1698197093
168,chul'man,56.8479,124.9104,-1.32,95,100,1.19,RU,1698186776
169,nuku'alofa,-21.1333,-175.2,22.19,73,75,6.17,TO,1698253318
170,tiksi,71.6872,128.8694,-18.78,98,19,3.69,RU,1698190350
171,tshabong,-26.05,22.45,24.04,12,0,4.02,BW,1698205596
172,queenstown,-31.8976,26.8753,14.14,60,0,0.08,ZA,1698204129
173,al jahra',29.3375,47.6581,28.64,38,98,2.88,KW,1698202605
174,novokuznetsk,53.7557,87.1099,4.55,80,100,5.76,RU,1698195387
175,huarmey,-10.0681,-78.1522,19.6,90,99,3.2,PE,1698230665
176,aioun,16.6614,-9.6149,28.68,27,99,4.35,MR,1698215609
177,dila,6.4167,38.3167,19.95,87,85,0.37,ET,1698203566
178,caleta de carquin,-11.0925,-77.6267,19.12,91,96,5.08,PE,1698230484
179,labytnangi,66.6572,66.4183,-6.59,92,100,5.71,RU,1698203149
180,kas,36.2018,29.6377,26.05,41,23,0.27,TR,1698207412
181,usogorsk,63.4106,48.6872,-0.74,86,17,3.4,RU,1698206456
182,nantucket,41.2835,-70.0995,14.45,89,20,6.17,US,1698231780
183,essingen,48.8086,10.0277,7.84,95,71,4.02,DE,1698213282
184,hithadhoo,-0.6,73.0833,27.24,81,15,7.36,MV,1698194866
185,ha'il,27.5219,41.6907,23.01,49,0,2.06,SA,1698203922
186,baglung,28.2719,83.5898,24.32,37,0,2.61,NP,1698193909
187,zambezi,-13.5432,23.1047,26.02,50,95,2.6,ZM,1698206182
188,chos malal,-37.3781,-70.2709,12.2,65,0,1.02,AR,1698226989
189,beira,-19.8436,34.8389,29.67,64,0,3.01,MZ,1698203009
190,alo,7.4178,6.7371,23.83,97,99,1.03,NG,1698211197
191,vila franca do campo,37.7167,-25.4333,21.23,89,84,6.41,PT,1698220755
192,el idrissia,34.4454,2.5275,11.68,80,4,3.07,DZ,1698213793
193,susuman,62.7833,148.1667,-13.34,92,96,0.89,RU,1698182374
194,bantay,17.5847,120.3892,30.54,67,80,2.92,PH,1698184451
195,saint-philippe,-21.3585,55.7679,28.77,77,8,2.14,RE,1698197898
196,ambon,-3.6954,128.1814,30.08,70,40,3.6,ID,1698181487
197,borogontsy,62.6683,131.1683,-7.61,88,95,3.38,RU,1698186434
198,dryden,49.7833,-92.7503,1.16,93,100,1.54,CA,1698238090
199,kotlas,61.2611,46.6556,-1.08,79,100,3.13,RU,1698206432
200,xicotencatl,23.0167,-98.8833,23.51,92,48,0.26,MX,1698237399
201,juanjui,-7.1779,-76.7314,23.08,83,84,0.68,PE,1698230478
202,viedma,-40.8135,-62.9967,6.97,81,15,4.19,AR,1698224933
203,flying fish cove,-10.4217,105.6791,28.82,74,40,5.66,CX,1698186538
204,gangadharpur,22.7604,88.2217,29.97,56,41,3.88,IN,1698192464
205,bandipura,34.4167,74.65,18.17,33,0,1.45,IN,1698196470
206,yuzhno-kurilsk,44.0306,145.8556,13.54,69,14,4.23,RU,1698180156
207,petropavlovsk-kamchatsky,53.0452,158.6483,5.25,58,75,3.0,RU,1698178097
208,sur,22.5667,59.5289,31.57,42,52,2.56,OM,1698199341
209,manaquiri,-3.3167,-60.35,28.25,74,41,0.85,BR,1698226748
210,brak,27.5496,14.2714,23.81,26,12,2.72,LY,1698210508
211,nezhinka,51.7676,55.3694,1.09,93,100,7.15,RU,1698202746
212,egilsstadir,65.2653,-14.3948,-5.05,93,0,2.06,IS,1698222146
213,playa vicente,17.8333,-95.8167,24.09,96,96,1.12,MX,1698236366
214,aniva,46.7144,142.5294,16.06,75,14,3.44,RU,1698181220
215,kingston,17.997,-76.7936,27.53,91,20,3.09,JM,1698231809
216,sitka,57.0531,-135.33,1.94,55,0,2.57,US,1698162831
217,pisco,-13.7,-76.2167,18.9,88,20,1.54,PE,1698230003
218,camalu,30.85,-116.0667,18.14,85,41,0.68,MX,1698155574
219,kristiansund,63.1115,7.732,4.36,87,0,2.06,NO,1698216229
220,torre del campo,37.7705,-3.8973,15.47,93,100,3.13,ES,1698215587
221,fort bragg,35.139,-79.006,9.89,93,0,0.0,US,1698233424
222,alice springs,-23.7,133.8833,25.75,19,71,7.72,AU,1698179017
223,port lincoln,-34.7333,135.8667,13.26,46,45,9.76,AU,1698177774
224,roma,43.2128,-75.4557,14.93,72,0,3.6,US,1698233241
225,glennville,31.9366,-81.9285,17.88,82,4,3.1,US,1698233896
226,arraial do cabo,-22.9661,-42.0278,22.51,92,78,7.3,BR,1698221259
227,kuanda,56.3161,116.0806,-0.57,41,100,5.07,RU,1698188811
228,waingapu,-9.6567,120.2641,31.83,48,32,5.29,ID,1698183079
229,tura,25.5198,90.2201,27.06,72,16,1.0,IN,1698192147
230,iquique,-20.2208,-70.1431,18.02,78,87,1.14,CL,1698228171
231,horta,38.5333,-28.6333,21.12,93,75,9.26,PT,1698221589
232,robore,-18.3333,-59.75,24.83,62,77,1.78,BO,1698225789
233,ust-nera,64.5667,143.2,-18.73,100,79,0.95,RU,1698184034
234,sumbe,-11.2061,13.8437,24.24,85,69,0.92,AO,1698208531
235,rameswaram,9.2833,79.3,27.44,76,36,2.5,IN,1698193876
236,ketchikan,55.3422,-131.6461,5.99,60,0,4.63,US,1698161674
237,vail,32.0479,-110.712,16.47,71,84,1.34,US,1698154368
238,calchaqui,-29.8877,-60.287,15.57,87,91,3.66,AR,1698225179
239,mercedes,-34.6515,-59.4307,11.03,90,13,2.88,AR,1698224615
240,banbury,52.0602,-1.3403,8.81,95,97,2.24,GB,1698216411
241,vernon,50.2581,-119.2691,5.34,81,93,1.54,CA,1698158019
242,san patricio,28.017,-97.5169,27.13,81,45,6.66,US,1698237379
243,livingstone,-17.8419,25.8543,31.25,28,4,2.53,ZM,1698205281
244,greenville,35.6127,-77.3663,10.63,99,100,0.0,US,1698233065
245,gebeit,21.0667,36.3167,28.77,36,0,2.92,SD,1698204827
246,cannonvale,-20.2833,148.7,24.66,63,0,4.17,AU,1698175669
247,tazovsky,67.4667,78.7,-6.36,92,66,1.74,RU,1698200478
248,lichinga,-13.3128,35.2406,25.3,44,36,4.5,MZ,1698203283
249,uturoa,-16.7333,-151.4333,26.98,75,79,5.54,PF,1698161511
250,la passe,45.5549,-0.8967,16.1,88,57,10.76,FR,1698215558
251,wuyang,31.9925,116.2472,24.81,45,100,0.72,CN,1698186312
252,mount pearl,47.5166,-52.7813,5.18,89,40,8.23,CA,1698228228
253,glasgow,55.8652,-4.2576,7.12,97,100,1.03,GB,1698217663
254,hermanus,-34.4187,19.2345,15.43,70,32,3.51,ZA,1698205769
255,rongelap,11.1635,166.8941,28.53,78,45,6.5,MH,1698172948
256,sterling,39.0062,-77.4286,12.51,76,0,2.68,US,1698233347
257,nagqu,31.5,92.0,2.68,38,100,4.99,CN,1698192101
258,taneytown,39.6579,-77.1744,13.58,77,0,2.57,US,1698233340
259,puntarenas,9.9763,-84.8384,24.57,94,100,0.32,CR,1698233309
260,tolanaro,-25.0319,46.9987,30.04,62,20,6.17,MG,1698199774
261,puebla de la calzada,38.8793,-6.627,15.95,94,40,1.54,ES,1698216331
262,nelson,-41.2833,173.2833,20.16,55,34,0.45,NZ,1698168237
263,nelson bay,-32.7167,152.15,22.83,76,15,2.68,AU,1698174024
264,paita,-5.0892,-81.1144,20.14,86,65,3.9,PE,1698231639
265,el granada,37.5027,-122.4694,14.4,85,100,4.12,US,1698157583
266,domna,51.8971,113.1573,3.09,23,20,8.0,RU,1698188876
267,la reforma,25.0833,-108.05,22.31,78,0,2.58,MX,1698153291
268,campbell river,50.0163,-125.2446,4.69,83,100,3.6,CA,1698159427
269,greenland,43.0362,-70.8328,12.28,88,40,1.54,US,1698232114
